marketer31,consignee11,description21,order_no211,scheduled_delivery_on21,TextBox12,TextBox18,version_no211,TextBox271,TextBox274
"","","","1214636","07/02/2026 00:00:00","66","35.000000","1","66","35.000000"
"","","","","","","","2","66","35.000000"
"","","","1214639","07/03/2026 00:00:00","66","35.000000","1","66","35.000000"
"","","","1214637","07/04/2026 00:00:00","66","35.000000","1","66","35.000000"
"","","","1214638","07/05/2026 00:00:00","66","35.000000","1","66","35.000000"
"","","","1214556","07/06/2026 00:00:00","66","35.000000","1","66","35.000000"
"","","Lady Finger 12kg ","1214635","06/30/2026 00:00:00","36","72.000000","1","36","72.000000"
"","","","","","","","2","36","72.000000"
"","","","","","","","3","36","72.000000"
"","","","","","","","4","36","72.000000"
"","","","","","","","5","36","72.000000"
"","","Red Tips","1214635","06/30/2026 00:00:00","24","36.000000","1","24","36.000000"
"","","","","","","","2","24","36.000000"
"","","","","","","","3","24","36.000000"
"","","","","","","","4","24","36.000000"
"","","","","","","","5","24","36.000000"
"","","","1214639","07/03/2026 00:00:00","24","36.000000","1","24","36.000000"
"","","Ruby Rise Tray 6","1214554","07/01/2026 00:00:00","24","21.000000","1","24","21.000000"
"","","","","","","","2","24","21.000000"
"","","","","","","","3","24","21.000000"
"","","","","","","","4","24","21.000000"
"","","","1214556","07/06/2026 00:00:00","24","21.000000","1","24","21.000000"
"","Costa Farms Adelaide","15kg Exports","Week 26 - 112","06/30/2026 10:00:00","240","","1","240",""
"","","","Week 26 - 148","07/01/2026 12:00:00","360","","1","360",""
"","","","Week 27 - 111","07/07/2026 10:00:00","240","","1","240",""
"","","Green 10kg Carton Large","Week 26 - 923","06/30/2026 10:00:00","23","","2","23",""
"","","Green 10kg Carton XL","Week 26 - 923","06/30/2026 10:00:00","61","","1","144",""
"","","","","","","","2","61",""
"","","","Week 27 - 924","07/07/2026 10:00:00","144","","1","144",""
"","","Green 10kg Carton XXL","Week 26 - 923","06/30/2026 10:00:00","60","","2","60",""
"","","Large","Week 26 - 150","07/04/2026 12:00:00","240","","1","300",""
"","","","","","","","2","240",""
"","","","","","","","3","240",""
"","","Red Hill 10kg Large","Week 26 - 923","06/30/2026 10:00:00","54","","2","54",""
"","","Red Hill 10kg XL","Week 26 - 923","06/30/2026 10:00:00","88","","1","144",""
"","","","","","","","2","88",""
"","","","Week 27 - 924","07/07/2026 10:00:00","144","","1","144",""
"","","Red Hill 10kg XXXL","Week 26 - 923","06/30/2026 10:00:00","2","","2","2",""
"","Country Chef - Bells Creek","Store at temperatures from 0 to below 5°C","PO74741","07/03/2026 12:00:00","1344","","1","1344",""
"","","","PO74830","07/06/2026 12:00:00","1344","","1","1008",""
"","","","","","","","2","1344",""
"","","","PO74985","07/17/2026 12:00:00","1344","","1","1344",""
"","","","PO74986","07/24/2026 12:00:00","1344","","1","1344",""
"","","","","","","","2","1344",""
"","","","PO75098","07/31/2026 12:00:00","1008","","1","1008",""
"","","","PO75120","08/07/2026 12:00:00","1008","","1","1008",""
